TimePeriodLabel,date,cases,deaths,newcases,newdeaths,Indicator,Group,State,Subgroup,Phase,TimePeriod,TimePeriodStartDate,TimePeriodEndDate,Value,LowCI,HighCI,ConfidenceInterval,QuartileRange,SymptomType,Subgroup2
Apr 23 - May 5,5/1/2020,1109726,64902,33970,1762,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,35.9,35,36.8,35.0 - 36.8,,Anxiety or Depressive,United States
Apr 23 - May 5,5/1/2020,1109726,64902,33970,1762,Symptoms of Anxiety Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,30.8,30,31.7,30.0 - 31.7,,Anxiety,United States
Apr 23 - May 5,5/2/2020,1139200,66485,29474,1583,Symptoms of Depressive Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,23.5,22.7,24.3,22.7 - 24.3,,Depressive,United States
Apr 23 - May 5,5/2/2020,1139200,66485,29474,1583,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,35.9,35,36.8,35.0 - 36.8,,Anxiety or Depressive,United States
Apr 23 - May 5,5/2/2020,1139200,66485,29474,1583,Symptoms of Anxiety Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,30.8,30,31.7,30.0 - 31.7,,Anxiety,United States
Apr 23 - May 5,5/3/2020,1165340,67816,26140,1331,Symptoms of Depressive Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,23.5,22.7,24.3,22.7 - 24.3,,Depressive,United States
Apr 23 - May 5,5/3/2020,1165340,67816,26140,1331,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,35.9,35,36.8,35.0 - 36.8,,Anxiety or Depressive,United States
Apr 23 - May 5,5/3/2020,1165340,67816,26140,1331,Symptoms of Anxiety Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,30.8,30,31.7,30.0 - 31.7,,Anxiety,United States
Apr 23 - May 5,5/4/2020,1187302,68905,21962,1089,Symptoms of Depressive Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,23.5,22.7,24.3,22.7 - 24.3,,Depressive,United States
Apr 23 - May 5,5/4/2020,1187302,68905,21962,1089,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,35.9,35,36.8,35.0 - 36.8,,Anxiety or Depressive,United States
Apr 23 - May 5,5/4/2020,1187302,68905,21962,1089,Symptoms of Anxiety Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,30.8,30,31.7,30.0 - 31.7,,Anxiety,United States
Apr 23 - May 5,5/5/2020,1211011,71139,23709,2234,Symptoms of Depressive Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,23.5,22.7,24.3,22.7 - 24.3,,Depressive,United States
Apr 23 - May 5,5/5/2020,1211011,71139,23709,2234,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,35.9,35,36.8,35.0 - 36.8,,Anxiety or Depressive,United States
Apr 23 - May 5,5/5/2020,1211011,71139,23709,2234,Symptoms of Anxiety Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,30.8,30,31.7,30.0 - 31.7,,Anxiety,United States
Apr 23 - May 5,5/6/2020,1235517,73847,24506,2708,Symptoms of Depressive Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,23.5,22.7,24.3,22.7 - 24.3,,Depressive,United States
Apr 23 - May 5,5/6/2020,1235517,73847,24506,2708,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,35.9,35,36.8,35.0 - 36.8,,Anxiety or Depressive,United States
Apr 23 - May 5,5/6/2020,1235517,73847,24506,2708,Symptoms of Anxiety Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,30.8,30,31.7,30.0 - 31.7,,Anxiety,United States
Apr 23 - May 5,4/28/2020,1018844,58416,24651,2394,Symptoms of Depressive Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,23.5,22.7,24.3,22.7 - 24.3,,Depressive,United States
Apr 23 - May 5,4/28/2020,1018844,58416,24651,2394,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,35.9,35,36.8,35.0 - 36.8,,Anxiety or Depressive,United States
Apr 23 - May 5,4/28/2020,1018844,58416,24651,2394,Symptoms of Anxiety Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,30.8,30,31.7,30.0 - 31.7,,Anxiety,United States
Apr 23 - May 5,4/29/2020,1045399,60930,26555,2514,Symptoms of Depressive Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,23.5,22.7,24.3,22.7 - 24.3,,Depressive,United States
Apr 23 - May 5,4/29/2020,1045399,60930,26555,2514,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,35.9,35,36.8,35.0 - 36.8,,Anxiety or Depressive,United States
Apr 23 - May 5,4/29/2020,1045399,60930,26555,2514,Symptoms of Anxiety Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,30.8,30,31.7,30.0 - 31.7,,Anxiety,United States
Apr 23 - May 5,4/26/2020,970996,54580,26735,1253,Symptoms of Depressive Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,23.5,22.7,24.3,22.7 - 24.3,,Depressive,United States
Apr 23 - May 5,4/26/2020,970996,54580,26735,1253,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,35.9,35,36.8,35.0 - 36.8,,Anxiety or Depressive,United States
Apr 23 - May 5,4/26/2020,970996,54580,26735,1253,Symptoms of Anxiety Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,30.8,30,31.7,30.0 - 31.7,,Anxiety,United States
Apr 23 - May 5,4/27/2020,994193,56022,23197,1442,Symptoms of Depressive Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,23.5,22.7,24.3,22.7 - 24.3,,Depressive,United States
Apr 23 - May 5,4/27/2020,994193,56022,23197,1442,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,35.9,35,36.8,35.0 - 36.8,,Anxiety or Depressive,United States
Apr 23 - May 5,4/27/2020,994193,56022,23197,1442,Symptoms of Anxiety Disorder,National Estimate,United States,United States,1,1,4/23/2020 0:00,5/5/2020 0:00,30.8,30,31.7,30.0 - 31.7,,Anxiety,United States
Aug 19 - Aug 31,8/19/2020,5541433,173093,43013,1295,Symptoms of Depressive Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,24.5,24,25,24.0 - 25.0,,Depressive,United States
Aug 19 - Aug 31,8/19/2020,5541433,173093,43013,1295,Symptoms of Anxiety Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,31.4,30.9,31.9,30.9 - 31.9,,Anxiety,United States
Aug 19 - Aug 31,8/19/2020,5541433,173093,43013,1295,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,36.4,35.9,36.9,35.9 - 36.9,,Anxiety or Depressive,United States
Aug 19 - Aug 31,8/20/2020,5587462,174136,46029,1043,Symptoms of Depressive Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,24.5,24,25,24.0 - 25.0,,Depressive,United States
Aug 19 - Aug 31,8/20/2020,5587462,174136,46029,1043,Symptoms of Anxiety Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,31.4,30.9,31.9,30.9 - 31.9,,Anxiety,United States
Aug 19 - Aug 31,8/20/2020,5587462,174136,46029,1043,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,36.4,35.9,36.9,35.9 - 36.9,,Anxiety or Depressive,United States
Aug 19 - Aug 31,8/22/2020,5681517,176247,45026,950,Symptoms of Depressive Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,24.5,24,25,24.0 - 25.0,,Depressive,United States
Aug 19 - Aug 31,8/22/2020,5681517,176247,45026,950,Symptoms of Anxiety Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,31.4,30.9,31.9,30.9 - 31.9,,Anxiety,United States
Aug 19 - Aug 31,8/22/2020,5681517,176247,45026,950,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,36.4,35.9,36.9,35.9 - 36.9,,Anxiety or Depressive,United States
Aug 19 - Aug 31,8/23/2020,5713850,176693,32333,446,Symptoms of Depressive Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,24.5,24,25,24.0 - 25.0,,Depressive,United States
Aug 19 - Aug 31,8/23/2020,5713850,176693,32333,446,Symptoms of Anxiety Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,31.4,30.9,31.9,30.9 - 31.9,,Anxiety,United States
Aug 19 - Aug 31,8/23/2020,5713850,176693,32333,446,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,36.4,35.9,36.9,35.9 - 36.9,,Anxiety or Depressive,United States
Aug 19 - Aug 31,8/24/2020,5754254,177197,40404,504,Symptoms of Depressive Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,24.5,24,25,24.0 - 25.0,,Depressive,United States
Aug 19 - Aug 31,8/24/2020,5754254,177197,40404,504,Symptoms of Anxiety Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,31.4,30.9,31.9,30.9 - 31.9,,Anxiety,United States
Aug 19 - Aug 31,8/24/2020,5754254,177197,40404,504,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,36.4,35.9,36.9,35.9 - 36.9,,Anxiety or Depressive,United States
Aug 19 - Aug 31,8/21/2020,5636491,175297,49029,1161,Symptoms of Depressive Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,24.5,24,25,24.0 - 25.0,,Depressive,United States
Aug 19 - Aug 31,8/21/2020,5636491,175297,49029,1161,Symptoms of Anxiety Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,31.4,30.9,31.9,30.9 - 31.9,,Anxiety,United States
Aug 19 - Aug 31,8/21/2020,5636491,175297,49029,1161,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,36.4,35.9,36.9,35.9 - 36.9,,Anxiety or Depressive,United States
Aug 19 - Aug 31,8/29/2020,5975540,182610,44610,871,Symptoms of Depressive Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,24.5,24,25,24.0 - 25.0,,Depressive,United States
Aug 19 - Aug 31,8/29/2020,5975540,182610,44610,871,Symptoms of Anxiety Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,31.4,30.9,31.9,30.9 - 31.9,,Anxiety,United States
Aug 19 - Aug 31,8/29/2020,5975540,182610,44610,871,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,36.4,35.9,36.9,35.9 - 36.9,,Anxiety or Depressive,United States
Aug 19 - Aug 31,8/30/2020,6008970,182984,33430,374,Symptoms of Depressive Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,24.5,24,25,24.0 - 25.0,,Depressive,United States
Aug 19 - Aug 31,8/30/2020,6008970,182984,33430,374,Symptoms of Anxiety Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,31.4,30.9,31.9,30.9 - 31.9,,Anxiety,United States
Aug 19 - Aug 31,8/30/2020,6008970,182984,33430,374,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,36.4,35.9,36.9,35.9 - 36.9,,Anxiety or Depressive,United States
Aug 19 - Aug 31,8/31/2020,6045455,183472,36485,488,Symptoms of Depressive Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,24.5,24,25,24.0 - 25.0,,Depressive,United States
Aug 19 - Aug 31,8/31/2020,6045455,183472,36485,488,Symptoms of Anxiety Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,31.4,30.9,31.9,30.9 - 31.9,,Anxiety,United States
Aug 19 - Aug 31,8/31/2020,6045455,183472,36485,488,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,36.4,35.9,36.9,35.9 - 36.9,,Anxiety or Depressive,United States
Aug 19 - Aug 31,9/1/2020,6089504,184563,44049,1091,Symptoms of Depressive Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,24.5,24,25,24.0 - 25.0,,Depressive,United States
Aug 19 - Aug 31,9/1/2020,6089504,184563,44049,1091,Symptoms of Anxiety Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,31.4,30.9,31.9,30.9 - 31.9,,Anxiety,United States
Aug 19 - Aug 31,9/1/2020,6089504,184563,44049,1091,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,36.4,35.9,36.9,35.9 - 36.9,,Anxiety or Depressive,United States
Aug 19 - Aug 31,8/28/2020,5930930,181739,46564,1010,Symptoms of Depressive Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,24.5,24,25,24.0 - 25.0,,Depressive,United States
Aug 19 - Aug 31,8/28/2020,5930930,181739,46564,1010,Symptoms of Anxiety Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,31.4,30.9,31.9,30.9 - 31.9,,Anxiety,United States
Aug 19 - Aug 31,8/28/2020,5930930,181739,46564,1010,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,36.4,35.9,36.9,35.9 - 36.9,,Anxiety or Depressive,United States
Aug 19 - Aug 31,8/25/2020,5793437,178410,39183,1213,Symptoms of Depressive Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,24.5,24,25,24.0 - 25.0,,Depressive,United States
Aug 19 - Aug 31,8/25/2020,5793437,178410,39183,1213,Symptoms of Anxiety Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,31.4,30.9,31.9,30.9 - 31.9,,Anxiety,United States
Aug 19 - Aug 31,8/25/2020,5793437,178410,39183,1213,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,36.4,35.9,36.9,35.9 - 36.9,,Anxiety or Depressive,United States
Aug 19 - Aug 31,8/26/2020,5838756,179603,45319,1193,Symptoms of Depressive Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,24.5,24,25,24.0 - 25.0,,Depressive,United States
Aug 19 - Aug 31,8/26/2020,5838756,179603,45319,1193,Symptoms of Anxiety Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,31.4,30.9,31.9,30.9 - 31.9,,Anxiety,United States
Aug 19 - Aug 31,8/26/2020,5838756,179603,45319,1193,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,36.4,35.9,36.9,35.9 - 36.9,,Anxiety or Depressive,United States
Aug 19 - Aug 31,8/27/2020,5884366,180729,45610,1126,Symptoms of Depressive Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,24.5,24,25,24.0 - 25.0,,Depressive,United States
Aug 19 - Aug 31,8/27/2020,5884366,180729,45610,1126,Symptoms of Anxiety Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,31.4,30.9,31.9,30.9 - 31.9,,Anxiety,United States
Aug 19 - Aug 31,8/27/2020,5884366,180729,45610,1126,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,2,13,8/19/2020 0:00,8/31/2020 0:00,36.4,35.9,36.9,35.9 - 36.9,,Anxiety or Depressive,United States
Dec 9 - Dec 21,12/23/2020,18513204,326424,227788,3412,Symptoms of Depressive Disorder,National Estimate,United States,United States,3 (Oct 28 � Dec 21),21,12/9/2020 0:00,12/21/2020 0:00,30.2,29.4,31.1,29.4 - 31.1,,Depressive,United States
Dec 9 - Dec 21,12/23/2020,18513204,326424,227788,3412,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,3 (Oct 28 � Dec 21),21,12/9/2020 0:00,12/21/2020 0:00,42.4,41.5,43.3,41.5 - 43.3,,Anxiety or Depressive,United States
Dec 9 - Dec 21,12/23/2020,18513204,326424,227788,3412,Symptoms of Anxiety Disorder,National Estimate,United States,United States,3 (Oct 28 � Dec 21),21,12/9/2020 0:00,12/21/2020 0:00,36.9,36.1,37.7,36.1 - 37.7,,Anxiety,United States
Dec 9 - Dec 21,12/15/2020,16773586,304041,202971,3025,Symptoms of Depressive Disorder,National Estimate,United States,United States,3 (Oct 28 � Dec 21),21,12/9/2020 0:00,12/21/2020 0:00,30.2,29.4,31.1,29.4 - 31.1,,Depressive,United States
Dec 9 - Dec 21,12/15/2020,16773586,304041,202971,3025,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,3 (Oct 28 � Dec 21),21,12/9/2020 0:00,12/21/2020 0:00,42.4,41.5,43.3,41.5 - 43.3,,Anxiety or Depressive,United States
Dec 9 - Dec 21,12/15/2020,16773586,304041,202971,3025,Symptoms of Anxiety Disorder,National Estimate,United States,United States,3 (Oct 28 � Dec 21),21,12/9/2020 0:00,12/21/2020 0:00,36.9,36.1,37.7,36.1 - 37.7,,Anxiety,United States
Dec 9 - Dec 21,12/16/2020,17018628,307652,245042,3611,Symptoms of Depressive Disorder,National Estimate,United States,United States,3 (Oct 28 � Dec 21),21,12/9/2020 0:00,12/21/2020 0:00,30.2,29.4,31.1,29.4 - 31.1,,Depressive,United States
Dec 9 - Dec 21,12/16/2020,17018628,307652,245042,3611,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,3 (Oct 28 � Dec 21),21,12/9/2020 0:00,12/21/2020 0:00,42.4,41.5,43.3,41.5 - 43.3,,Anxiety or Depressive,United States
Dec 9 - Dec 21,12/16/2020,17018628,307652,245042,3611,Symptoms of Anxiety Disorder,National Estimate,United States,United States,3 (Oct 28 � Dec 21),21,12/9/2020 0:00,12/21/2020 0:00,36.9,36.1,37.7,36.1 - 37.7,,Anxiety,United States
Dec 9 - Dec 21,12/17/2020,17257055,310950,238427,3298,Symptoms of Depressive Disorder,National Estimate,United States,United States,3 (Oct 28 � Dec 21),21,12/9/2020 0:00,12/21/2020 0:00,30.2,29.4,31.1,29.4 - 31.1,,Depressive,United States
Dec 9 - Dec 21,12/17/2020,17257055,310950,238427,3298,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,3 (Oct 28 � Dec 21),21,12/9/2020 0:00,12/21/2020 0:00,42.4,41.5,43.3,41.5 - 43.3,,Anxiety or Depressive,United States
Dec 9 - Dec 21,12/17/2020,17257055,310950,238427,3298,Symptoms of Anxiety Disorder,National Estimate,United States,United States,3 (Oct 28 � Dec 21),21,12/9/2020 0:00,12/21/2020 0:00,36.9,36.1,37.7,36.1 - 37.7,,Anxiety,United States
Dec 9 - Dec 21,12/18/2020,17508278,313820,251223,2870,Symptoms of Depressive Disorder,National Estimate,United States,United States,3 (Oct 28 � Dec 21),21,12/9/2020 0:00,12/21/2020 0:00,30.2,29.4,31.1,29.4 - 31.1,,Depressive,United States
Dec 9 - Dec 21,12/18/2020,17508278,313820,251223,2870,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,3 (Oct 28 � Dec 21),21,12/9/2020 0:00,12/21/2020 0:00,42.4,41.5,43.3,41.5 - 43.3,,Anxiety or Depressive,United States
Dec 9 - Dec 21,12/18/2020,17508278,313820,251223,2870,Symptoms of Anxiety Disorder,National Estimate,United States,United States,3 (Oct 28 � Dec 21),21,12/9/2020 0:00,12/21/2020 0:00,36.9,36.1,37.7,36.1 - 37.7,,Anxiety,United States
Dec 9 - Dec 21,12/19/2020,17702197,316381,193919,2561,Symptoms of Depressive Disorder,National Estimate,United States,United States,3 (Oct 28 � Dec 21),21,12/9/2020 0:00,12/21/2020 0:00,30.2,29.4,31.1,29.4 - 31.1,,Depressive,United States
Dec 9 - Dec 21,12/19/2020,17702197,316381,193919,2561,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,3 (Oct 28 � Dec 21),21,12/9/2020 0:00,12/21/2020 0:00,42.4,41.5,43.3,41.5 - 43.3,,Anxiety or Depressive,United States
Dec 9 - Dec 21,12/19/2020,17702197,316381,193919,2561,Symptoms of Anxiety Disorder,National Estimate,United States,United States,3 (Oct 28 � Dec 21),21,12/9/2020 0:00,12/21/2020 0:00,36.9,36.1,37.7,36.1 - 37.7,,Anxiety,United States
Dec 9 - Dec 21,12/20/2020,17882143,317810,179946,1429,Symptoms of Depressive Disorder,National Estimate,United States,United States,3 (Oct 28 � Dec 21),21,12/9/2020 0:00,12/21/2020 0:00,30.2,29.4,31.1,29.4 - 31.1,,Depressive,United States
Dec 9 - Dec 21,12/20/2020,17882143,317810,179946,1429,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,3 (Oct 28 � Dec 21),21,12/9/2020 0:00,12/21/2020 0:00,42.4,41.5,43.3,41.5 - 43.3,,Anxiety or Depressive,United States
Dec 9 - Dec 21,12/20/2020,17882143,317810,179946,1429,Symptoms of Anxiety Disorder,National Estimate,United States,United States,3 (Oct 28 � Dec 21),21,12/9/2020 0:00,12/21/2020 0:00,36.9,36.1,37.7,36.1 - 37.7,,Anxiety,United States
Dec 9 - Dec 21,12/21/2020,18083756,319773,201613,1963,Symptoms of Depressive Disorder,National Estimate,United States,United States,3 (Oct 28 � Dec 21),21,12/9/2020 0:00,12/21/2020 0:00,30.2,29.4,31.1,29.4 - 31.1,,Depressive,United States
Dec 9 - Dec 21,12/21/2020,18083756,319773,201613,1963,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,3 (Oct 28 � Dec 21),21,12/9/2020 0:00,12/21/2020 0:00,42.4,41.5,43.3,41.5 - 43.3,,Anxiety or Depressive,United States
Dec 9 - Dec 21,12/21/2020,18083756,319773,201613,1963,Symptoms of Anxiety Disorder,National Estimate,United States,United States,3 (Oct 28 � Dec 21),21,12/9/2020 0:00,12/21/2020 0:00,36.9,36.1,37.7,36.1 - 37.7,,Anxiety,United States
Dec 9 - Dec 21,12/22/2020,18285416,323012,201660,3239,Symptoms of Depressive Disorder,National Estimate,United States,United States,3 (Oct 28 � Dec 21),21,12/9/2020 0:00,12/21/2020 0:00,30.2,29.4,31.1,29.4 - 31.1,,Depressive,United States
Dec 9 - Dec 21,12/22/2020,18285416,323012,201660,3239,Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,3 (Oct 28 � Dec 21),21,12/9/2020 0:00,12/21/2020 0:00,42.4,41.5,43.3,41.5 - 43.3,,Anxiety or Depressive,United States
